"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Decision (EU) 2020/637 of the European Central Bank of 27 April 2020 on accreditation procedures for manufacturers of euro secure items and euro items (ECB/2020/24) (recast)","","32020D0637","","","","","2022-11-16","2022-11-16",,"","d99219ee-941b-11ea-aac4-01aa75ed71a1","http://data.europa.eu/eli/dec/2020/637/oj","2020-05-12","070607/06/2023 12:23:112023","Decision","Community certification, fine, issuing of currency, paper money, euro, safety standard","","European Central Bank (ECB), Economic and monetary policy, European Central Bank (ECB), European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, ECB institutional provisions, Euro banknotes production, Sanctions","European Central Bank (ECB), Economic and monetary policy, European Central Bank (ECB), European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters, ECB institutional provisions","Euro banknotes production, Sanctions","","Economic and monetary policy and free movement of capital, Monetary policy","Economic and monetary policy and free movement of capital","Monetary policy","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E128","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999R2157, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017L0541, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003F0568, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008F0841, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32011L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015L0849","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016D0025, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016D0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013D0054(01)","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D2063","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-04-27","2020-05-12","European Central Bank","3","2020","D","0637","","2020-04-27, 2022-11-16, 2021-05-18","No end date","","true","REP","24","OJ L 149, 12/05/2020, p. 12–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Agreement between the ECB and Eesti Pank","AGR/2003/08271","42003Z8271","","","","","","",,"","ca007b94-945d-11ea-aac4-01aa75ed71a1","","2020-05-12","221122/11/2022 19:15:332022","Agreement","disclosure of information, exchange of information, Estonia, fight against crime, central bank, fraud, paper money, counterfeiting, euro","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0011, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2003-08-27","","European Central Bank","4","2003","Z","8271","","2003-08-27","No end date","","true","REP","","",
"Agreement between the ECB and Národná banka Slovenska","AGR/2003/09291","42003Z9291","","","","","","",,"","b7cd2102-945b-11ea-aac4-01aa75ed71a1","","2020-05-12","201120/11/2022 18:14:112022","Agreement","Slovakia, disclosure of information, exchange of information, euro, counterfeiting, fraud, paper money, central bank, fight against crime","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0011","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2003-09-29","","European Central Bank","4","2003","Z","9291","","2003-09-29","No end date","","true","REP","","",
"Agreement between the ECB and Narodowy Bank Polski","AGR/2004/01221","42004Z1221","","","","","","",,"","739cfde1-9459-11ea-aac4-01aa75ed71a1","","2020-05-12","191119/11/2022 13:58:302022","Agreement","central bank, fight against crime, fraud, paper money, counterfeiting, euro, Poland, disclosure of information, exchange of information","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0011","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2004-01-22","","European Central Bank","4","2004","Z","1221","","2004-01-22","No end date","","true","REP","","",
"Agreement between the ECB and the Bank of Lithuania","AGR/2003/09292","42003Z9292","","","","","","",,"","3268cdf3-945d-11ea-aac4-01aa75ed71a1","","2020-05-12","191119/11/2022 08:22:522022","Agreement","disclosure of information, exchange of information, counterfeiting, euro, Lithuania, central bank, fight against crime, fraud, paper money","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Economic and monetary policy and free movement of capital, Provisions governing the institutions, Economic policy, European Central Bank, Economic and monetary union","General, financial and institutional matters, Economic and monetary policy and free movement of capital","Provisions governing the institutions, Economic policy","European Central Bank, Economic and monetary union","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0011","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2003-09-29","","European Central Bank","4","2003","Z","9292","","2003-09-29","No end date","","true","REP","","",
"Agreement between the ECB and Magyar Nemzeti Bank","AGR/2003/07031","42003Z7031","","","","","","",,"","f904a837-945e-11ea-aac4-01aa75ed71a1","","2020-05-12","221122/11/2022 10:56:112022","Agreement","exchange of information, disclosure of information, Hungary, counterfeiting, euro, central bank, fight against crime, paper money, fraud","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001D0011, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2003-07-03","","European Central Bank","4","2003","Z","7031","","2003-07-03","No end date","","true","REP","","",
"Guideline (EU) 2020/634 of the European Central Bank of 7 May 2020 amending Guideline ECB/2014/31 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2020/29)","","32020O0634","","","","","","",,"","4d5709b9-935e-11ea-aac4-01aa75ed71a1","http://data.europa.eu/eli/guideline/2020/634/oj","2020-05-11","101110/11/2022 12:14:182022","Guideline","infectious disease, euro area, money market, financial instrument, credit guarantee, epidemic, EU financing arrangements","","European Central Bank (ECB), Economic and monetary policy, Economic policy, Monetary policy and Operations, Monetary policy instruments, Temporary framework","European Central Bank (ECB), Economic and monetary policy, Economic policy","Monetary policy and Operations","Monetary policy instruments","Temporary framework","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0188, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0045(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0440, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016D0016, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0187","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0031","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020O0634R(01)","","","","","","MAN2, COVID19","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-05-07","2020-05-11","European Central Bank","3","2020","O","0634","","2020-05-18, 2020-05-07","2021-09-29","","false","LIE","6","OJ L 148, 11/05/2020, p. 10–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Cooperation agreement between the ECB and the National Bank of Serbia","AGR/2014/07151","42014Z7151","","","","","","",,"","ca4940af-93a0-11ea-aac4-01aa75ed71a1","","2020-05-11","201120/11/2022 06:40:262022","Agreement","central bank, fight against crime, paper money, fraud, Serbia, counterfeiting, euro, cooperation agreement, disclosure of information, exchange of information","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999O0003","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2014-07-15","","European Central Bank","4","2014","Z","7151","","2014-07-15","No end date","","true","REP","","",
"Cooperation agreement between the ECB and the Bulgarian National Bank","AGR/2005/01111","42005Z1111","","","","","","",,"","fcb9ab41-93a3-11ea-aac4-01aa75ed71a1","","2020-05-11","181118/11/2022 17:11:122022","Agreement","central bank, fight against crime, paper money, fraud, counterfeiting, euro, cooperation agreement, Bulgaria, exchange of information, disclosure of information","","European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Protection of the euro","European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters","Protection of the euro","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000F0383, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R1338","","","","","","","","","","","","","","","Validity : notice of termination of 12 Months","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2005-01-11","","European Central Bank","4","2005","Z","1111","","2005-01-11","No end date","","true","REP","","",
"Decision (EU) 2020/628 of the European Central Bank of 4 May 2020 amending Decision ECB/2008/17 laying down the framework for joint Eurosystem procurement (ECB/2020/27)","","32020D0628","","","","","","",,"","9bb2bd92-90ee-11ea-aac4-01aa75ed71a1","http://data.europa.eu/eli/dec/2020/628/oj","2020-05-08","051105/11/2022 19:28:252022","Decision","issuing of currency, Eurosystem, paper money, operation of the Institutions, EU office or agency, euro, public procurement, decision-making body (EU), printing, central bank","","Euro, European Central Bank (ECB), Economic and Monetary Union, European Central Bank (ECB), ECB institutional provisions, Procurement","Euro, European Central Bank (ECB), Economic and Monetary Union, European Central Bank (ECB)","ECB institutional provisions","Procurement","","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital, Public contracts, Economic policy, General, Economic and monetary union","Right of establishment and freedom to provide services, Economic and monetary policy and free movement of capital","Public contracts, Economic policy","General, Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E128","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0044","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008D0017","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-05-04","2020-05-08","European Central Bank","3","2020","D","0628","","2020-05-28","No end date","","true","LIE","2","OJ L 146, 08/05/2020, p. 11–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Agreement of 25 October 2019 on net financial assets","AGR/2019/10251","42019Z10251","","","","","","",,"","c24994d9-9129-11ea-aac4-01aa75ed71a1","","2020-05-08","140114/01/2021 17:38:102021","Agreement","","","European Central Bank (ECB), Monetary policy and Operations, Monetary policy instruments, General framework","European Central Bank (ECB)","Monetary policy and Operations","Monetary policy instruments","General framework","","","","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127","","","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2019-10-25","","National banks within the Eurosystem: Nationale Bank van België/Banque Nationale de Belgique, Deutsche Bundesbank, Eesti Pank, Banc Ceannais na hÉireann/Central Bank of Ireland, Τράπεζα της Ελλάδος, Banco de España, Banque de France, Banca d’Italia, Κεντρική Τράπεζα της Κύπρου, Latvijas Banka, Lietuvos Bankas, Banque centrale du Luxembourg, Bank Centrali ta’ Malta/Central Bank of Malta, De Nederlandsche Bank, Oesterreichische Nationalbank, Banco de Portugal, Banka Slovenije, Národná banka Slovenska, Suomen Pankki/Finlands Bank, European Central Bank","4","2019","AB, Z","10251","","2019-11-06","No end date","","true","","","",
"Regulation (EU) 2020/605 of the European Central Bank of 9 April 2020 amending Regulation (EU) 2015/534 on reporting of supervisory financial information (ECB/2020/22)","","32020R0605","","","","","","",,"","99fd10ce-9025-11ea-812f-01aa75ed71a1","http://data.europa.eu/eli/reg/2020/605/oj","2020-05-07","101110/11/2022 09:58:272022","Regulation","financial instrument, technical specification, financial institution, standardised accounting system, financial control, accounting, international standard, disclosure of information","","European Central Bank (ECB), Freedom of establishment, European Central Bank (ECB), Banking supervision, Reporting","European Central Bank (ECB), Freedom of establishment, European Central Bank (ECB)","Banking supervision","Reporting","","Right of establishment and freedom to provide services, Sectoral application, Service activities, Banks","Right of establishment and freedom to provide services","Sectoral application","Service activities","Banks","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020R0429, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0680","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015R0534","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-04-09","2020-05-07","European Central Bank","3","2020","R","0605","","2020-06-01, 2020-05-27","No end date","","true","LIE","334","OJ L 145, 07/05/2020, p. 1–334
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Decision (EU) 2020/614 of the European Central Bank of 30 April 2020 amending Decision (EU) 2019/1311 on a third series of targeted longer-term refinancing operations (ECB/2020/25)","","32020D0614","","","","","","",,"","86c3b579-8fa5-11ea-812f-01aa75ed71a1","http://data.europa.eu/eli/dec/2020/614/oj","2020-05-06","070607/06/2023 12:20:102023","Decision","long-term financing, financial transaction, disclosure of information, financial legislation, euro area, credit institution, loan, interest","","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Financial provisions, Economic and Monetary Union, ECB institutional provisions, Monetary policy and Operations, Sanctions, Monetary policy instruments, General framework","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Financial provisions, Economic and Monetary Union","ECB institutional provisions, Monetary policy and Operations","Sanctions, Monetary policy instruments","General framework","Economic and monetary policy and free movement of capital, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital","Economic policy","Economic and monetary union","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014O0060, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0407","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019D0021(01)","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0614R(01)","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-04-30","2020-05-05","European Central Bank","3","2020","D","0614","","2020-05-05","No end date","","true","LIE","9","OJ L 141, 05/05/2020, p. 28–36
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
